V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
1951 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1952 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1953 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1954 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1955 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1956 52754 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1957 52754 32766 32766 32766 32766 -32766 32766 32766 180 32766 32766 -32766 10 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1958 52754 32766 32766 32766 32766 30795 69 9 202 110 38 4151 0 55 41 -293 211 -62 71 2 -1 32766 32766 6806 
1959 52754 32766 32766 32766 32766 30359 68 -6 405 109 34 3567 0 56 40 -284 225 -69 64 -4 -7 32766 32766 6801 
1960 52754 32766 32766 32766 32766 30100 68 -15 193 111 34 3225 0 54 40 -290 236 -70 70 -3 -6 32766 32766 6805 
1961 52754 32766 32766 32766 32766 29390 66 -9 373 116 32 3471 0 55 41 -310 237 -73 63 -6 -9 32766 32766 6802 
1962 52754 32766 32766 32766 32766 31158 70 -18 30222 99 34 3119 0 52 38 -263 216 -77 65 -9 -12 32766 32766 6806 
1963 52754 32766 32766 32766 32766 30942 70 7 288 96 36 4070 0 52 40 -292 208 -72 70 -4 -7 32766 32766 6809 
1964 52754 32766 32766 32766 32766 29921 67 7 184 125 34 4073 0 58 42 -309 203 -67 64 -5 -8 32766 32766 6801 
1965 52754 32766 32766 32766 32766 30660 69 -5 30170 105 37 3610 0 52 38 -265 219 -68 66 -4 -7 32766 32766 6809 
1966 52754 32766 32766 32766 32766 29345 66 -13 30157 113 38 3286 304 52 40 -252 236 -64 69 -1 -4 32766 32766 6803 
1967 52754 32766 32766 32766 32766 29489 67 32 244 132 35 4995 307 58 42 -285 224 -71 53 -12 -15 32766 32766 6802 
1968 52754 32766 32766 32766 32766 30844 69 -9 235 119 39 3454 305 58 40 -259 206 -67 64 -7 -10 32766 32766 6803 
1969 52754 32766 32766 32766 32766 30891 70 4 209 99 43 3933 303 52 40 -265 231 -62 76 3 0 32766 32766 6801 
1970 52754 32766 32766 32766 32766 30375 69 -3 200 104 40 3693 304 51 38 -274 221 -72 66 -8 -11 32766 32766 6805 
1971 52754 32766 32766 32766 32766 29855 67 12 220 116 41 4250 301 53 40 -295 239 -63 71 0 -3 32766 32766 6807 
1972 52754 170 903 32766 32766 29752 67 8 217 109 38 4083 302 55 42 -265 240 -59 73 2 -1 32766 32766 6803 
1973 52754 250 14 32766 32766 30944 70 -23 158 94 41 2907 305 51 39 -291 234 -64 73 1 -2 32766 32766 6808 
1974 52754 213 16 32766 32766 29258 66 4 400 124 39 3930 303 57 40 -253 202 -63 64 -3 -6 32766 32766 6801 
1975 52754 230 14 32766 32766 29458 66 17 337 102 36 4428 304 56 41 -272 224 -65 61 -5 -8 32766 32766 6804 
1976 52754 190 13 32766 32766 31082 70 -6 225 109 32 3578 302 54 38 -243 210 -68 62 -8 -11 32766 32766 6800 
1977 52754 200 14 32766 32766 29896 67 -13 253 108 37 3293 303 54 39 -264 225 -66 63 -6 -9 32766 32766 6807 
1978 52754 190 15 32766 32766 30993 70 -20 168 98 39 3033 306 54 40 -281 250 -62 68 -2 -5 32766 32766 6808 
1979 52754 240 15 32766 32766 31362 71 -1 393 88 40 3754 302 49 37 -263 215 -62 73 2 -1 32766 32766 6808 
1980 52754 267 13 32766 32766 31547 71 -14 216 93 39 3257 0 50 38 -271 207 -65 72 0 -3 6652 6917 6805 
1981 52754 210 15 32766 32766 30125 68 7 290 99 37 4072 0 51 42 -254 230 -60 72 2 -1 6671 6894 6802 
1982 52754 170 13 32766 32766 30433 69 -4 344 110 36 3659 0 56 40 -285 206 -63 62 -4 -7 6670 6902 6803 
1983 52754 197 15 32766 32766 30538 69 1 180 112 37 3848 0 53 39 -268 209 -68 58 -9 -12 6681 6904 6805 
1984 52754 220 14 32766 32766 30805 69 -8 193 103 39 3507 0 52 38 -273 205 -61 65 -3 -6 6651 6906 6793 
1985 52754 190 902 32766 32766 30257 68 25 292 119 39 4749 0 52 40 -293 221 -59 65 -2 -5 6654 6907 6798 
1986 52754 183 15 32766 32766 31361 71 1 270 101 35 3848 2 53 38 -274 220 -65 62 -6 -9 6655 6906 6804 
1987 52754 183 14 32766 32766 30348 68 10 315 111 36 4181 0 53 40 -245 206 -55 75 5 2 6679 6908 6809 
1988 52754 190 15 32766 32766 28617 64 36 295 131 35 5158 0 56 43 -267 226 -54 72 5 2 6662 6907 6804 
1989 52754 170 14 32766 32766 29129 66 21 251 139 31 4588 0 60 45 -287 216 -57 62 -2 -5 6662 6907 6803 
1990 52754 197 14 32766 32766 30948 70 -31 179 95 34 2601 2 52 38 -254 215 -58 75 4 1 6692 6919 6808 
1991 52754 180 1 32766 32766 28763 65 -21 221 102 39 3008 3 52 39 -269 234 -61 74 3 0 6668 6899 6803 
1992 52754 217 15 32766 32766 28686 65 -19 149 108 36 3089 0 53 40 -253 217 -64 66 -2 -5 6678 6917 6805 
